,ID,Categoria,Funcionalidade,Escopo Cli.,Status Tec.,Método Shift,Observações Negócio (Detalhamento Funcional),Observação Técnica,View Sugerida,Campos mínimos (proposta),Observação/Justificativa
2,2,Acesso,Perfis de Acesso,Sim,Parcial,Apenas Tipo,"Controle granular de permissões por usuário. Deve ser possível configurar se um usuário pode: Ver Preços, Cadastrar Pedidos, Imprimir Laudos ou apenas Visualizar. Objetivo é simplificar os ""33 cenários"" do legado em perfis padrão de sistema.",Shift só retorna o Tipo de Usuário (Ex: 4). A tabela de permissões e regras de tela deve ser gerida localmente pelo Portal.,VPortalPerfisAcesso_perfis_de_acesso_id2,"UsuarioId, Login, Nome, Email, TipoUsuario, Perfis, Permissoes, Unidade, Ativo",View para detalhar perfis/permissões além do 'Tipo' retornado pela API.
5,4,Dashboard,Filtros de Busca,Sim,Adapt,WsListaPacMedicoNome,"Deve permitir busca combinada por: Período (Início/Fim), Número da Guia, Nome do Paciente, Referência (Código Externo do Apoiado), Local de Atendimento e Situação do Exame (Status Analítico).","Campos retornam no payload, mas API não filtra na origem. Solicitar à Shift inclusão dos parâmetros de busca (Server-side) para evitar carga no Middleware.",VPortalDashboardConsolidado_filtros_de_busca_id4,"OsId, CodigoOs, DataCadastro, HoraCadastro, OsStatus, PacienteNome, PacienteCpf, PacienteRg, SolicitanteNome, NumeroGuia, NumeroLote, FontePagadora, ProcedimentoMnemonico, ProcedimentoStatus, DataPromessa, HoraPromessa, Setor",View consolidada para consultas e filtros do dashboard (join OS + Procedimentos + Cobrança).
6,5,Dashboard,Status/Contadores,Sim,Parcial,WsGetListaExPaciente,"Exibir resumo no topo: ""X de Y exames prontos"". Usar código de cores: 🟠 Laranja (Aguardando/Triagem), 🔵 Azul (Em Processamento/Análise), 🟢 Verde (Liberado/Assinado).","A API retorna status numérico (1=Aberto, 3=Execução, etc). O portal deve a partir do retorno dado ao Fastcomm pela Shift, contar e agrupar para exibir o resumo visual.",VPortalDashboardConsolidado_status_contadores_id5,"OsId, CodigoOs, DataCadastro, HoraCadastro, OsStatus, PacienteNome, PacienteCpf, PacienteRg, SolicitanteNome, NumeroGuia, NumeroLote, FontePagadora, ProcedimentoMnemonico, ProcedimentoStatus, DataPromessa, HoraPromessa, Setor",View consolidada para consultas e filtros do dashboard (join OS + Procedimentos + Cobrança).
7,6,Dashboard,Botão Resultados,Sim,Parcial,status,"Ação condicional na grid: O botão ""Abrir Resultados"" só deve ficar habilitado (clicável) se houver pelo menos um exame com status ""Verde"" (Liberado/Impresso). Caso contrário, fica desabilitado visualmente.","Lógica Front-end: O Front valida o array de exames retornado; se houver algum finalizado, habilita o botão.",VPortalResultados_botao_resultados_id6,"OsId, CodigoOs, OsProcedimentoId, ProcedimentoId, ProcedimentoMnemonico, ProcedimentoDescricao, StatusResultado, DataLiberacao, HoraLiberacao, UrlPdf, UrlArquivos, HashDocumento",View para expor resultados e/ou URLs de laudo; facilita filtros e downloads no Portal.
8,7,Dashboard,Editar Guia,Sim,GAP Crítico,GAP (Order),"Permite editar dados cadastrais (Nome, Sexo, etc). Regra de Bloqueio: Não pode editar exames que já estejam em andamento (Azul) ou prontos (Verde). Apenas exames ""Abertos"" podem ser alterados.",Crítico. API atual é apenas leitura (Get). Falta método UpdateOrder ou HL7 para salvar as alterações.,VPortalDashboardConsolidado_editar_guia_id7,"OsId, CodigoOs, DataCadastro, HoraCadastro, OsStatus, PacienteNome, PacienteCpf, PacienteRg, SolicitanteNome, NumeroGuia, NumeroLote, FontePagadora, ProcedimentoMnemonico, ProcedimentoStatus, DataPromessa, HoraPromessa, Setor",View consolidada para consultas e filtros do dashboard (join OS + Procedimentos + Cobrança).
10,9,Dashboard,Detalhes (Gaveta),Sim,Parcial,WsGetListaExPaciente,"Ao clicar no ícone de expandir (+), abrir uma ""gaveta"" abaixo da linha mostrando detalhes extras: Valor Individual do Exame (R$), Data de Entrega Real e Tipo de Amostra/Material.",Data e Amostra retornam. Preço (Valor) é um GAP (API não traz preço).,VPortalAmostrasEtiquetas_detalhes_gaveta_id9,"OsId, CodigoOs, AmostraId, CodigoBarra, MaterialId, MaterialNome, ConservanteId, ConservanteNome, EtiquetaEpl, Setor, DataColeta, HoraColeta, ProcedimentoId, ProcedimentoMnemonico, OsProcedimentoId",View para amostras e etiquetas (EPL) por OS/procedimento.
11,10,Dashboard,Cores de DATA,Sim,Parcial,dataPrevisao,"Regra visual para datas: Exibir em 🟡 Amarelo se for ""Data Prevista"" (Estimativa/Aguardando Material) e em 🟣 Roxo se for ""Data de Entrega"" (Compromisso Real/Amostra em Análise).",Lógica Portal: A API traz os dois campos. O sistema deve aplicar a regra de cor baseada no preenchimento destes.,VPortalDashboardConsolidado_cores_de_data_id10,"OsId, CodigoOs, DataCadastro, HoraCadastro, OsStatus, PacienteNome, PacienteCpf, PacienteRg, SolicitanteNome, NumeroGuia, NumeroLote, FontePagadora, ProcedimentoMnemonico, ProcedimentoStatus, DataPromessa, HoraPromessa, Setor",View consolidada para consultas e filtros do dashboard (join OS + Procedimentos + Cobrança).
12,11,Dashboard,Impressão Checkbox,Sim,Parcial,urlPdf,"Permitir selecionar múltiplos exames de uma mesma guia via checkbox (caixa de seleção) e clicar em ""Imprimir"". O sistema deve gerar um PDF único ou zipado apenas com os laudos selecionados.",Lógica Portal: Front envia IDs selecionados; Middleware baixa os PDFs das URLs correspondentes e agrupa.,VPortalDashboardConsolidado_impressao_checkbox_id11,"OsId, CodigoOs, DataCadastro, HoraCadastro, OsStatus, PacienteNome, PacienteCpf, PacienteRg, SolicitanteNome, NumeroGuia, NumeroLote, FontePagadora, ProcedimentoMnemonico, ProcedimentoStatus, DataPromessa, HoraPromessa, Setor",View consolidada para consultas e filtros do dashboard (join OS + Procedimentos + Cobrança).
13,12,Dashboard,Agente EPL,Sim,GAP Crítico,GAP (Driver),"Requisito técnico: O sistema deve possuir um middleware local (""Agente"") capaz de enviar comandos de impressão direta para impressoras térmicas (Zebra/Argox) sem abrir caixa de diálogo do Windows.",Crítico. A Shift não tem endpoint que retorne a string ZPL/EPL. O Portal terá que gerar o código da etiqueta internamente. Necessário levantamento de tipo de equipamento.,VPortalAmostrasEtiquetas_agente_epl_id12,"OsId, CodigoOs, AmostraId, CodigoBarra, MaterialId, MaterialNome, ConservanteId, ConservanteNome, EtiquetaEpl, Setor, DataColeta, HoraColeta, ProcedimentoId, ProcedimentoMnemonico, OsProcedimentoId",View para amostras e etiquetas (EPL) por OS/procedimento.
18,16,Catálogo,Bloqueio de Itens,Sim,GAP Crítico,GAP (Contrato),"Regra de Contrato: Exames que o laboratório apoiado NÃO contratou devem aparecer na lista de busca, mas na cor Cinza (Bloqueado) e não podem ser selecionados para pedido.",Crítico. API traz todos os exames do sistema. Não informa quais são bloqueados. Necessário tabela auxiliar de permissões.,VPortalBloqueioProcedimento_bloqueio_de_itens_id16,"ProcedimentoId, ProcedimentoMnemonico, ProcedimentoDescricao, FontePagadoraCodigo, ConvenioCodigo, Bloqueado, MotivoBloqueio, DataVigenciaInicio, DataVigenciaFim",View para regras de bloqueio/contrato por procedimento (somente leitura).
19,17,Orçamentos,Simulação (Preço),Sim,GAP Crítico,GAP (Financ.),"Funcionalidade de ""Orçamento Rápido"": O usuário seleciona exames e o sistema exibe uma ""Telinha de Orçamento"" lateral somando o valor total (R$) com base na tabela de preço daquele cliente.",Crítico. API WsGetExamesById NÃO RETORNA PREÇO. Necessário endpoint específico de Tabela de Preços.,VPortal_orcamentos_simulacao_preco_id17,"OsId, CodigoOs, Campo1, Campo2",Necessário detalhar campos conforme GAP.
